source,target,weight
80,59,2.0
81,52,3.0
81,93,3.0
81,47,3.0
81,25,3.0
81,2,3.0
82,111,7.0
82,52,5.0
82,54,4.0
82,26,4.0
82,58,3.0
83,73,2.0
83,71,2.0
83,91,2.0
83,5,2.0
83,60,2.0
84,93,5.0
84,1,4.0
84,2,4.0
84,4,4.0
84,43,3.0
85,66,4.0
85,54,3.0
85,58,3.0
85,63,3.0
85,47,3.0
86,41,8.0
86,59,5.0
86,60,5.0
86,93,5.0
86,52,5.0
87,26,8.0
87,62,6.0
87,111,5.0
87,36,4.0
87,54,4.0
88,66,5.0
88,54,3.0
88,58,3.0
88,47,3.0
88,48,3.0
89,125,3.0
89,20,3.0
89,100,3.0
89,101,2.0
89,129,2.0
90,13,3.0
90,25,3.0
90,76,3.0
90,78,3.0
90,133,3.0
91,129,18.0
91,20,9.0
91,59,8.0
91,60,7.0
91,5,7.0
92,71,1.0
92,108,1.0
92,14,1.0
92,6,1.0
92,65,1.0
93,2,10.0
93,41,8.0
93,1,7.0
93,43,5.0
93,86,5.0
94,29,11.0
94,129,11.0
94,77,11.0
94,35,8.0
94,91,6.0
95,65,4.0
95,35,4.0
95,29,4.0
95,77,3.0
95,60,3.0
96,9,2.0
96,67,1.0
96,113,1.0
96,32,1.0
96,126,1.0
97,47,6.0
97,2,4.0
97,93,3.0
97,37,3.0
97,120,3.0
98,11,2.0
98,79,2.0
98,9,2.0
98,110,1.0
98,75,1.0
99,29,3.0
99,77,3.0
99,22,3.0
99,94,3.0
99,41,2.0
100,125,5.0
100,20,5.0
100,101,5.0
100,41,5.0
100,129,5.0
101,125,11.0
101,20,10.0
101,129,9.0
101,91,7.0
101,41,6.0
102,119,3.0
102,50,3.0
102,19,3.0
102,70,2.0
102,131,2.0
103,18,7.0
103,94,3.0
103,51,3.0
103,41,3.0
103,122,3.0
104,4,3.0
104,111,3.0
104,26,3.0
104,1,2.0
104,62,2.0
105,101,2.0
105,77,2.0
105,129,2.0
105,20,2.0
105,45,2.0
106,97,1.0
106,47,1.0
106,112,1.0
106,81,1.0
106,44,1.0
107,52,5.0
107,41,5.0
107,16,5.0
107,86,4.0
107,43,4.0
108,6,11.0
108,71,5.0
108,12,3.0
108,95,2.0
108,65,2.0
109,66,5.0
109,72,2.0
109,88,2.0
109,133,2.0
109,54,2.0
110,36,18.0
110,31,4.0
110,26,4.0
110,24,4.0
110,111,4.0
111,82,7.0
111,52,6.0
111,26,6.0
111,36,5.0
111,87,5.0
112,134,5.0
112,93,3.0
112,60,3.0
112,123,3.0
112,77,3.0
113,67,2.0
113,75,2.0
113,31,2.0
113,79,2.0
113,34,2.0
114,101,2.0
114,68,2.0
114,121,2.0
114,39,2.0
114,125,2.0
115,11,1.0
115,67,1.0
115,113,1.0
115,88,1.0
115,127,1.0
116,128,2.0
116,9,2.0
116,126,2.0
116,11,2.0
116,52,2.0
117,102,2.0
117,119,2.0
117,50,2.0
117,131,2.0
117,31,1.0
118,61,1.0
118,52,1.0
118,38,1.0
118,26,1.0
118,16,1.0
119,102,3.0
119,131,2.0
119,4,2.0
119,19,2.0
119,69,2.0
120,47,4.0
120,125,3.0
120,52,3.0
120,2,3.0
120,37,3.0
121,130,4.0
121,101,4.0
121,68,4.0
121,16,4.0
121,125,3.0
122,101,6.0
122,1,5.0
122,18,5.0
122,93,5.0
122,125,5.0
123,78,7.0
123,45,6.0
123,43,5.0
123,13,4.0
123,49,4.0
124,20,2.0
124,125,2.0
124,89,2.0
124,56,2.0
124,103,2.0
125,101,11.0
125,20,10.0
125,59,8.0
125,129,7.0
125,5,5.0
126,47,2.0
126,123,2.0
126,32,2.0
126,120,2.0
126,53,2.0
127,16,4.0
127,52,4.0
127,38,3.0
127,125,3.0
127,24,3.0
128,75,5.0
128,38,4.0
128,36,4.0
128,31,3.0
128,52,3.0
129,91,18.0
129,20,14.0
129,35,12.0
129,94,11.0
129,77,10.0
130,121,4.0
130,16,2.0
130,111,2.0
130,68,2.0
130,87,2.0
131,102,2.0
131,119,2.0
131,4,2.0
131,61,2.0
131,104,2.0
132,91,7.0
132,59,7.0
132,129,6.0
132,20,5.0
132,125,4.0
133,76,17.0
133,72,6.0
133,24,4.0
133,8,4.0
133,55,4.0
134,112,5.0
134,93,2.0
134,2,2.0
134,77,2.0
134,25,2.0
